ā,錒
tùn,褪
tuō,鮵
tuó,鼉
tuǒ,鰖
tuò,籜
wā,攨
wá,娃
wǎ,砙
wà,韤
wāi,竵
wǎi,崴
wài,顡
wān,灣
wán,翫
wǎn,鋔
wàn,贎
wāng,尩
wáng,蚟
wǎng,瀇
wàng,朢
wēi,霺
wéi,欈
wěi,斖
wèi,讏
wēn,鰮
wén,闦
wěn,穩
wèn,璺
wēng,鶲
wěng,攚
wèng,齆
wō,踒
wǒ,捰
wò,齷
wū,鰞
wú,鷡
wǔ,躌
wù,鶩
xī,鑴
xí,驨
xǐ,躧
xì,屭
xiā,鰕
xiá,鶷
xiǎ,閜
xià,鏬
xiān,鱻
xián,鷴
xiǎn,灦
xiàn,鼸
xiāng,驤
xiáng,跭
xiǎng,鱶
xiàng,鱌
xiāo,虈
xiáo,誵
xiǎo,皢
xiào,斅
xiē,蠍
xié,龤
xiě,藛
xiè,躞
xīn,馫
xín,鐔
xǐn,伈
xìn,釁
xīng,鯹
xíng,餳
xǐng,擤
xìng,臖
xiōng,賯
xióng,熋
xiǒng,焽
xiòng,敻
xiū,飍
xiú,苬
xiǔ,糔
xiù,齅
xū,鑐
xú,蒣
xǔ,盨
xù,鱮
xuān,譞
xuán,懸
xuǎn,癬
xuàn,贙
xuē,鞾
xué,鷽
xuě,鱈
xuè,瀥
xūn,醺
xún,灥
xùn,鑂
yā,鐚
yá,齖
yǎ,蕥
yà,齾
yān,黫
yán,麣
yǎn,黶
yàn,灩
yāng,鍈
yáng,鸉
yǎng,癢
yàng,樣
yāo,邀
yáo,鱙
yǎo,鷕
yào,讑
yē,蠮
yé,鎁
yě,壄
yè,鸈
yī,黳
yí,讉
yǐ,齮
yì,讛
yīn,韾
yín,鷣
yǐn,讔
yìn,懚
yīng,鸚
yíng,籯
yǐng,癭
yìng,鱦
yō,喲
yōng,癰
yóng,鰫
yǒng,鯒
yòng,醟
yōu,纋
yóu,繇
yǒu,黝
yòu,櫾
yū,箊
yú,齵
yǔ,齬
yù,爩
yuān,鼝
yuán,厵
yuǎn,鋺
yuàn,願
yuē,矱
yuě,噦
yuè,鸙
yūn,贇
yún,橒
yǔn,齳
yùn,韻
zā,臢
zá,雥
zǎ,咋
zāi,賳
zǎi,崽
zài,縡
zān,鐕
zán,喒
zǎn,趲
zàn,饡
zāng,贜
zǎng,駔
zàng,臟
zāo,蹧
záo,鑿
zǎo,藻
zào,躁
zé,鸅
zè,崱
zéi,鱡
zěn,怎
zèn,譖
zēng,譄
zèng,囎
zhā,齇
zhá,譗
zhǎ,鮺
zhà,醡
zhāi,齋
zhái,檡
zhǎi,鉙
zhài,寨
zhān,鱣
zhán,讝
zhǎn,黵
zhàn,驏
zhāng,鱆
zhǎng,礃
zhàng,瞕
zhāo,皽
zháo,着
zhǎo,瑵
zhào,羄
zhē,螫
zhé,讋
zhě,襵
zhè,鷓
zhèi,这
zhēn,鱵
zhěn,黰
zhèn,鎮
zhēng,鏳
zhěng,整
zhèng,證
zhī,蘵
zhí,躑
zhǐ,襧
zhì,豒
zhōng,籦
zhǒng,踵
zhòng,諥
zhōu,譸
zhóu,軸
zhǒu,鯞
zhòu,驟
zhū,蠩
zhú,钃
zhǔ,矚
zhù,鑄
zhuā,髽
zhuǎ,爪
zhuāi,拽
zhuái,转
zhuǎi,跩
zhuài,拽
zhuān,鱄
zhuǎn,轉
zhuàn,囀
zhuāng,糚
zhuǎng,奘
zhuàng,戆
zhuī,鵻
zhuǐ,沝
zhuì,鑆
zhūn,衠
zhǔn,綧
zhùn,稕
zhuō,穱
zhuó,籱
zī,齜
zí,蓻
zǐ,榟
zì,漬
zōng,鑁
zǒng,總
zòng,糭
zōu,齺
zǒu,走
zòu,揍
zū,蒩
zú,鏃
zǔ,靻
zuān,鑽
zuǎn,籫
zuàn,攥
zuī,纗
zuǐ,璻
zuì,檌
zūn,鱒
zǔn,譐
zùn,銌
zuō,穝
zuó,稓
zuǒ,繓
zuò,糳
